iter	Passed	Remaining
428	1783	2373
429	1787	2369
430	1792	2366
431	1796	2362
432	1800	2357
433	1804	2353
434	1809	2350
435	1814	2346
436	1818	2343
437	1822	2338
438	1827	2334
439	1830	2330
440	1835	2326
441	1839	2321
442	1843	2317
443	1847	2313
444	1851	2309
445	1856	2305
446	1860	2301
447	1863	2296
448	1867	2292
449	1871	2287
450	1876	2283
451	1880	2279
452	1884	2275
453	1888	2270
454	1891	2265
455	1894	2260
456	1898	2255
457	1901	2250
458	1905	2246
459	1909	2241
460	1912	2236
461	1915	2230
462	1919	2226
463	1923	2221
464	1926	2216
465	1930	2211
466	1933	2206
467	1937	2201
468	1940	2197
469	1944	2192
470	1947	2187
471	1951	2182
472	1954	2177
473	1958	2173
474	1961	2168
475	1965	2163
476	1968	2158
477	1972	2154
478	1976	2149
479	1979	2144
480	1983	2140
481	1987	2135
482	1990	2130
483	1993	2125
484	1997	2120
485	2000	2116
486	2004	2111
487	2007	2106
488	2010	2101
489	2014	2096
490	2017	2091
491	2021	2087
492	2024	2082
493	2028	2077
494	2031	2072
495	2035	2068
496	2039	2063
497	2047	2064
498	2051	2060
499	2055	2055
500	2059	2051
501	2062	2046
502	2066	2041
503	2070	2037
504	2073	2032
505	2077	2027
506	2080	2022
507	2083	2018
508	2087	2013
509	2090	2008
510	2094	2003
511	2097	1998
512	2101	1995
513	2106	1992
514	2111	1988
515	2115	1984
516	2119	1980
517	2124	1976
518	2128	1972
519	2133	1969
520	2138	1966
521	2142	1961
522	2146	1957
523	2152	1955
524	2158	1953
525	2163	1949
526	2168	1945
527	2171	1941
528	2177	1938
529	2181	1934
530	2187	1931
531	2192	1928
532	2198	1926
533	2203	1922
534	2208	1919
535	2212	1915
536	2216	1911
537	2221	1907
538	2225	1903
539	2229	1899
540	2233	1894
541	2237	1890
542	2241	1886
543	2245	1882
544	2250	1878
545	2254	1874
546	2258	1870
547	2262	1866
548	2266	1862
549	2271	1858
550	2275	1854
551	2279	1850
552	2283	1845
553	2288	1842
554	2292	1837
555	2296	1834
556	2305	1833
557	2309	1829
558	2314	1825
559	2317	1821
560	2323	1817
561	2328	1814
562	2332	1810
563	2336	1806
564	2341	1802
565	2345	1798
566	2350	1795
567	2355	1791
568	2359	1787
569	2363	1783
570	2368	1779
571	2372	1774
572	2376	1770
573	2380	1766
574	2384	1762
575	2389	1758
576	2393	1754
577	2398	1750
578	2402	1747
579	2407	1743
580	2411	1738
581	2415	1734
582	2419	1730
583	2424	1726
584	2428	1722
585	2432	1718
586	2437	1715
587	2441	1710
588	2445	1706
589	2450	1702
590	2454	1698
591	2458	1694
592	2462	1690
593	2467	1686
594	2471	1682
595	2475	1677
596	2479	1673
