iter	RMSE
198	3.356451953
199	3.354816046
200	3.353319433
201	3.351635205
202	3.350516481
203	3.348783689
204	3.346397959
205	3.345160176
206	3.343711091
207	3.342002298
208	3.339852205
209	3.33772663
210	3.335223163
211	3.333173189
212	3.330730664
213	3.329377606
214	3.327239996
215	3.326064321
216	3.324837153
217	3.323342491
218	3.32195384
219	3.320665757
220	3.318686126
221	3.317078052
222	3.315408522
223	3.313358772
224	3.312119607
225	3.311180948
226	3.30986812
227	3.308986915
228	3.307550589
229	3.305361692
230	3.303895346
231	3.302171147
232	3.301176503
233	3.299722364
234	3.297849493
235	3.296850374
236	3.2955304
237	3.2939441
238	3.29263641
239	3.291044331
240	3.289223257
241	3.286521204
242	3.285603469
243	3.284150805
244	3.282720041
245	3.281479004
246	3.279691697
247	3.278409251
248	3.277265457
249	3.276139099
250	3.275228026
251	3.27406265
252	3.272643196
253	3.271444132
254	3.270108504
255	3.26916746
256	3.267949203
257	3.267253293
258	3.264943735
259	3.26342109
260	3.262135313
261	3.26043452
262	3.259284234
263	3.258463196
264	3.257597645
265	3.256359007
266	3.255371961
267	3.254045721
268	3.253235796
269	3.252324154
270	3.250421668
271	3.249442636
272	3.248201758
273	3.24712119
274	3.245668285
275	3.244369992
276	3.242784113
277	3.241721791
278	3.24073131
279	3.239966993
280	3.238142862
281	3.236966346
282	3.235525506
283	3.234456366
284	3.233140634
285	3.232068207
286	3.231086683
287	3.229194512
288	3.227961509
289	3.226680549
290	3.225441773
291	3.223746807
292	3.222687697
293	3.221299374
294	3.220126945
295	3.218911878
296	3.217021953
297	3.215512103
298	3.214132559
299	3.213216197
300	3.21258821
301	3.211672614
302	3.210333849
303	3.209572249
304	3.20838404
305	3.207125994
306	3.206039558
307	3.204913942
308	3.203747277
309	3.202861957
310	3.201744157
311	3.20058521
312	3.199527459
313	3.198658413
314	3.198166672
315	3.196982477
316	3.195474592
317	3.194376934
318	3.193502883
319	3.191931884
320	3.190873611
321	3.190287012
322	3.189042019
323	3.18812305
324	3.186811817
325	3.186032826
326	3.184990252
327	3.183411223
328	3.182797201
329	3.18208027
330	3.180735274
331	3.179405664
332	3.178412796
333	3.177260045
334	3.176271386
335	3.174969026
336	3.174209308
337	3.17306603
338	3.171794593
339	3.170737242
340	3.169381222
341	3.168478822
342	3.16753054
343	3.166559234
344	3.165487552
345	3.164303028
346	3.163243651
347	3.162299067
348	3.161049042
349	3.159988712
350	3.158751114
351	3.157151623
352	3.155509627
353	3.154795843
354	3.153923935
355	3.152825637
356	3.151757482
357	3.150548546
358	3.14976761
359	3.148484731
360	3.147240912
361	3.146547794
362	3.14548394
363	3.144590873
364	3.14329569
365	3.142143869
366	3.141742814
367	3.141295599
368	3.140044604
369	3.138735328
370	3.137327505
371	3.135948953
372	3.13493
373	3.133443072
374	3.132519886
375	3.131523383
376	3.130572703
377	3.129980394
378	3.129235334
379	3.12789773
380	3.126716445
381	3.126041986
382	3.125215835
383	3.124224511
384	3.122946792
385	3.121725713
386	3.120912573
387	3.119754339
388	3.11875192
389	3.117456508
390	3.116492309
391	3.115677214
392	3.114685646
393	3.113322084
394	3.11277762
395	3.111708472
396	3.11089334
397	3.109922449
398	3.10933656
399	3.108107906
400	3.106920288
401	3.106280471
402	3.105518972
403	3.104698779
404	3.103857027
405	3.102973419
406	3.101778285
407	3.101002166
408	3.100306373
409	3.0999349
410	3.098211761
411	3.097372726
412	3.095500002
413	3.094296979
414	3.093414104
415	3.092517125
416	3.091562191
417	3.090954007
418	3.089956868
419	3.089140225
420	3.088114523
421	3.087169203
422	3.085722807
423	3.08481729
424	3.083741258
425	3.082555199
426	3.081239537
427	3.079726109
428	3.078963016
429	3.077928205
430	3.076611965
431	3.075732299
432	3.075182779
433	3.074029461
434	3.072972316
435	3.071615428
436	3.070796788
437	3.069924287
438	3.06920475
439	3.068237578
440	3.067177667
441	3.066633289
442	3.065612882
443	3.064606012
444	3.064143366
445	3.063203087
446	3.062358397
447	3.061224198
448	3.059938452
449	3.058669778
450	3.057931363
451	3.056967429
452	3.056088142
453	3.055279163
454	3.054073652
455	3.053800143
456	3.052925091
457	3.051825452
458	3.051026633
459	3.050223201
460	3.049446739
461	3.048642654
462	3.047409506
463	3.046813686
464	3.045892927
465	3.045473038
466	3.044845414
467	3.044503416
468	3.0438774
469	3.043240422
470	3.042253112
471	3.041161895
472	3.040373283
473	3.039331237
474	3.038577462
475	3.037732782
476	3.036785592
477	3.035579406
478	3.034696322
479	3.033728303
480	3.032760046
481	3.031902351
482	3.03089694
483	3.030440741
484	3.029651711
485	3.028785572
486	3.028029073
487	3.027284113
488	3.026261124
489	3.025528652
490	3.024736376
491	3.02421667
492	3.023489083
493	3.022523213
494	3.021645158
495	3.020836372
496	3.019807677
497	3.018622686
498	3.01722543
499	3.016467595
500	3.015456821
501	3.014668156
502	3.013728731
503	3.012867931
504	3.011793821
505	3.010702539
506	3.010018994
507	3.00931022
508	3.008522173
509	3.007346314
510	3.006637418
511	3.006197798
512	3.005388454
513	3.004306589
514	3.003490574
515	3.002470657
516	3.001439955
517	3.000601125
518	2.999625291
519	2.998922511
520	2.998325897
521	2.997393418
522	2.996617212
523	2.995971906
524	2.994911849
525	2.994410013
526	2.993128176
527	2.992199702
528	2.991481783
529	2.990764406
530	2.989723241
531	2.989089448
532	2.988249526
533	2.987321407
534	2.986457978
535	2.985634263
536	2.984495045
537	2.983599058
538	2.982587766
539	2.981666003
540	2.980987474
541	2.980000058
542	2.979077758
543	2.978277221
544	2.977617629
545	2.97657835
546	2.975846803
547	2.97483075
548	2.97389031
549	2.9730068
550	2.971964429
551	2.971105231
552	2.969894658
553	2.969284264
554	2.968927201
555	2.968068145
556	2.967336676
557	2.966687077
558	2.965802029
559	2.964912055
560	2.963856166
561	2.962493036
562	2.961667871
563	2.960978411
564	2.959886515
565	2.959074622
566	2.958218552
567	2.957434193
568	2.956900345
569	2.956060466
570	2.955499629
571	2.954851303
572	2.953950303
573	2.953387578
574	2.95241692
575	2.951967041
576	2.951151677
577	2.94979037
578	2.949261532
579	2.948532101
580	2.947899231
581	2.946528306
582	2.945725815
583	2.945342068
584	2.944768977
585	2.944258686
586	2.943286001
587	2.942624395
588	2.941633882
589	2.941236362
590	2.940544127
591	2.939529625
592	2.938648627
593	2.937630994
594	2.936702648
595	2.936117437
596	2.935443597
597	2.934748759
598	2.933716674
599	2.932723884
600	2.931824722
601	2.931082254
602	2.92986566
603	2.92895274
604	2.927924369
605	2.926846571
606	2.926255308
607	2.925620568
608	2.925128912
609	2.924180021
610	2.923433463
611	2.922799132
612	2.921623588
613	2.921085404
614	2.920468122
615	2.919424177
616	2.91896104
617	2.918053551
618	2.916894948
619	2.916234751
620	2.915383014
621	2.914721042
622	2.914249425
623	2.91357192
624	2.912970309
625	2.912337486
626	2.911227754
627	2.911028642
628	2.910170328
629	2.909461179
630	2.90854641
631	2.907983249
632	2.907145963
633	2.90629468
634	2.905176564
635	2.90443954
636	2.90437855
637	2.903520958
638	2.9027708
639	2.902147311
640	2.901488884
641	2.900853234
642	2.900077293
643	2.899199475
644	2.898111697
645	2.897393615
646	2.896718957
647	2.896233096
648	2.895336522
649	2.894651674
650	2.893879268
651	2.893495925
652	2.893464115
653	2.892850319
654	2.891950751
655	2.89106459
656	2.889991171
657	2.889095281
658	2.888364728
659	2.887711326
660	2.886614231
661	2.885597785
662	2.884772322
663	2.883993865
664	2.883483276
665	2.882736015
666	2.881836071
667	2.881214612
668	2.880604559
669	2.880196073
670	2.87963027
671	2.878893065
672	2.878131038
673	2.877345521
674	2.876539343
675	2.875725617
676	2.874993598
677	2.874470658
678	2.873798996
679	2.872902919
680	2.87238504
681	2.871950877
682	2.871290402
683	2.870443461
684	2.869720471
685	2.868943721
686	2.868338367
687	2.867343554
688	2.866583582
689	2.865870123
690	2.865141017
691	2.86400636
692	2.863324017
693	2.862567666
694	2.861812254
695	2.861336932
696	2.860673531
697	2.860253286
698	2.859880107
699	2.859174541
700	2.858344587
701	2.857535216
702	2.857021634
703	2.85630165
704	2.855699525
705	2.855175235
706	2.854742615
707	2.853809205
708	2.852852944
709	2.851586726
710	2.8508711
711	2.850255583
712	2.849506327
713	2.848634818
714	2.848064269
715	2.847494518
716	2.846758476
717	2.846160551
718	2.845446588
719	2.844502647
720	2.843881624
721	2.842879823
722	2.842096419
723	2.841363204
724	2.840593195
725	2.839650546
726	2.838791864
727	2.838282129
728	2.837315491
729	2.836621987
730	2.835886781
731	2.835254467
732	2.834584999
733	2.834029307
734	2.832917229
735	2.831926621
736	2.831116332
737	2.830431352
738	2.829759343
739	2.828979287
740	2.828636261
741	2.827888322
742	2.827083793
743	2.826493872
744	2.826043213
745	2.82528866
746	2.824382064
747	2.824340258
748	2.823557594
749	2.822636262
750	2.821866856
751	2.821399795
752	2.820781964
753	2.820067565
754	2.819259732
755	2.818689642
756	2.818228062
757	2.817532098
758	2.816745089
759	2.815625001
760	2.815109543
761	2.814408965
762	2.813443392
763	2.812632924
764	2.812465979
765	2.811571084
766	2.810908083
767	2.810098461
768	2.809499807
769	2.808623551
770	2.807761773
771	2.806864549
772	2.806814964
773	2.806256291
774	2.805729865
775	2.804836868
776	2.804435943
777	2.804395635
778	2.803214853
779	2.802318762
780	2.801686132
781	2.800977982
782	2.800283878
783	2.799607498
784	2.798994287
785	2.798220068
786	2.79738089
787	2.796696138
788	2.795834815
789	2.794841646
790	2.794348866
791	2.793714114
792	2.79280833
793	2.791922614
794	2.791388736
795	2.790825533
796	2.790246574
797	2.789624775
798	2.788956663
799	2.788146686
800	2.787627583
801	2.787152602
802	2.786044908
803	2.785187056
804	2.784463544
805	2.784053016
806	2.783349291
807	2.782739569
808	2.781912668
809	2.780862214
810	2.780606088
811	2.779745683
812	2.779335796
813	2.778764077
814	2.777939119
815	2.776969294
816	2.776044249
817	2.775426357
818	2.774616183
819	2.77378082
820	2.773345057
821	2.772633932
822	2.772147004
823	2.77125605
824	2.770453192
825	2.769313232
826	2.768637848
827	2.768036752
828	2.7672295
829	2.766726423
830	2.766260236
831	2.76561965
832	2.765242723
833	2.764310265
834	2.763640316
835	2.763218887
836	2.762417803
837	2.761752472
838	2.760860598
839	2.760149797
840	2.759528346
841	2.758834106
842	2.758357498
843	2.757585115
844	2.757052987
845	2.756509541
846	2.755748669
847	2.754781933
848	2.753963013
849	2.753557082
850	2.752784987
851	2.752074622
852	2.751255457
853	2.750550966
854	2.750111154
855	2.749475989
856	2.748773426
857	2.748365626
858	2.747829644
859	2.747294316
860	2.746640243
861	2.746036011
862	2.745105973
863	2.744622116
864	2.743954877
865	2.74341461
866	2.742964278
867	2.74235209
868	2.741273048
869	2.740966779
870	2.740179188
871	2.739439077
872	2.738838351
873	2.737638134
874	2.737010813
875	2.736374369
876	2.735462169
877	2.735076093
878	2.734435126
879	2.73383744
880	2.733272386
881	2.732632954
882	2.731907475
883	2.73140084
884	2.73078559
885	2.730273591
886	2.729625333
887	2.728690394
888	2.727990666
889	2.72727798
890	2.72679662
891	2.725903391
892	2.725456454
893	2.724677493
894	2.723982967
895	2.723476355
896	2.722968732
897	2.722774163
898	2.722026785
899	2.721501141
900	2.72081037
901	2.720234337
902	2.719618868
903	2.719293694
904	2.718581884
905	2.717830255
906	2.717153257
907	2.716806769
908	2.716021949
909	2.715720539
910	2.714655158
911	2.713950259
912	2.713239816
913	2.712681322
914	2.711865616
915	2.711124101
916	2.710593784
917	2.710026969
918	2.709276685
919	2.708437128
920	2.707939652
921	2.707412912
922	2.706885282
923	2.706026885
924	2.705490691
925	2.704676036
926	2.703924174
927	2.703310874
928	2.703124336
929	2.702721296
930	2.702156978
931	2.7012048
932	2.700565818
933	2.699992733
934	2.699824315
935	2.698950349
936	2.698678692
937	2.697789015
938	2.697031663
939	2.696239794
940	2.69561602
941	2.694655435
942	2.693898315
943	2.693480386
944	2.693164779
945	2.692321113
946	2.691553032
947	2.691060999
948	2.690626055
949	2.689515868
950	2.688824144
951	2.688270494
952	2.687806185
953	2.687163478
954	2.686361126
955	2.686336705
956	2.685411555
957	2.684592654
958	2.683982786
959	2.683222402
960	2.682667519
961	2.682139508
962	2.681442977
963	2.680783361
964	2.680038481
965	2.67945953
966	2.679186827
967	2.678558476
968	2.677946968
969	2.677109452
970	2.676595888
971	2.676290538
972	2.675830392
973	2.674753693
974	2.674344788
975	2.673785018
976	2.673179757
977	2.672562013
978	2.671414275
979	2.670886929
980	2.670223241
981	2.669640355
982	2.668727854
983	2.668196432
984	2.667829254
985	2.6671556
986	2.666448786
987	2.665967622
988	2.665356333
989	2.66472576
990	2.663983925
991	2.663388205
992	2.662243986
993	2.66155039
994	2.660949988
995	2.660222077
996	2.659443635
997	2.65860278
998	2.657784001
999	2.657089713
